nid,field_ligacao_j,field_especificacao_j,field_referencia_j,field_numero_j,field_regiao_j,field_local_j,title,field_data_j,field_tempo_j,field_quantidade_j,field_producao_j,field_rolonum_j,field_tipo_video_j,field_numero_filme_j,field_pais_j,field_genero_j,field_idioma_original_j,field_legenda_j,field_versao_j,field_sistema_j,field_imagem_j,field_direcao_j,field_roteiro_j, field_fotografia_j,field_musica_j,field_elenco_j,field_premiacao_j
47413,79,"Walker. Sinopse: Em 1855, o médico, advogado e jornalista norte-americano William Walker comanda um exército de mercenários que invade a Nicarágua por ordem do magnata Cornelius Vanderbilt, um dos homens mais ricos dos Estados Unidos.  Em seguida, Walter se proclama presidente e reprime com violência qualquer tentativa de revolta dos nicaraguenses.  O diretor Alex Cox surpreende os espectadores ao inserir no filme recursos tecnológicos como helicópteros e computadores, numa alusão ao desenvolvimento e riqueza dos EUA e sua relação com os países subdesenvolvidos da América Latina. (*)",23,23.0,,,Walker (*),1987,95',1.0,Edward R. Pressman/Leonzo O'Brien,,Comercial,23.0,Estados Unidos,,Inglês,Sim,,VHS/NTSC,Colorido,Alex Cox,,David Bridges,Joe Strummer,"Ed Harris Masur, Rene Auberjonois, Peter Boyle, Miguel Sandoval, Marlee Matlin",
47414,81,"Retrato de Tereza. Sinopse: O filme mostra as contradições vividas por Tereza, operária cubana, no trabalho e na família. Ela enfrenta problemas de relacionamento com o marido, a partir do momento em que se envolve com um grupo de Teatro Popular.  Conciliar o papel de esposa, mãe, operária, e ainda desenvolver esta atividade de caráter sócio-cultural, acaba por trazer à tona as tensões entre teoria revolucionária e prática cotidiana.  Ao abordar o processo de transformação do papel social da mulher cubana nos anos 70, o filme provocou debates em Cuba, onde mais de 50.000 pessoas o assistiram, em apenas dois meses.",32,32.0,,,Retrato de Tereza,1979,103',2.0,ICAIC (Instituto Cubano del Arte y Indústria Cinematográficos),,Comercial,32.0,Cuba,,Espanhol,Sim,,VHS/NTSC,Colorido,Pastor Vega,,José Hernandes,Carlos Farina,"Daisy Granados, Adolfo Llauradó, Alina Sanches, Raul Pomares",Filme do Ano no Festival de Londres; Melhor Atriz no XX Festival de Cartagena e no XI Festival de Moscou.
47415,82,Zapotecas y Mistecas: Pueblos de las Nubes. Comentários de Eduardo Matos Moctezuma,34,34.0,,,Zapotecas y Mistecas: Pueblos de las Nubes,,70',1.0,Eduardo Villa Kamel,,Comercial,34.0,México,,espanhol,Não,,VHS/NTSC,Colorido,Eduardo Carrasco Zanini,Eduardo Carrasco Zanini,,Leonardo Sandoval e Juan Carlos Novelo,,
47416,92,Que é Isso Companheiro? (O),347,347.0,,,Que é Isso Companheiro? (O),,120',1.0,,,Comercial,0.0,,,,Não,,VHS/NTSC,Colorido,,,,,,
47417,93,"La Luna en el Espejo. Sinopse: Don Arnaldo, um senhor velho e doente, vive preso junto ao seu filho, o Gordo. Da sua cama vigia todos os movimentos da casa através dos espelhos que cobrem as paredes do seu quarto, e exerce o poder sobre a única coisa que pode controlar, a vida de seu filho. Este é obediente e submisso: vive para cuidar do pai enquanto come e cozinha. Ganha a vida fazendo tortas caseiras e sonha em montar um restaurante. O Gordo deseja e teme a sua liberdade. Somente a culpa o impede de reconhecer o quanto deseja morte do pai. A interferência de uma vizinha, Lucrécia, sacudirá a existência do Gordo e de seu pai, atuando como principal contato destes com o mundo exterior. (*)",48,48.0,,,La Luna en el Espejo (*),,90',1.0,Silvio Caiozzi,,Comercial,0.0,,,,Não,,VHS,Colorido,,,,,,
47418,95,"Frida, Naturaleza Viva. Sinopse: Transformada em mito, Frida Kahlo (1907-1954) é um dos símbolos da mulher livre, independente e criadora. Pintora, militante comunista, casada com Diego Rivera (muralista mexicano), conviveu com artistas e políticos, entre eles Trotsky. Teve uma vida intensa, marcada por problemas de saúde, acarretados por trágico acidente sofrido na juventude.   O clima político do México pós-revolucionário é apresentado de forma primorosa, mostrando as relações entre arte, política e poder, através dos trabalhos de Frida e Diego. O diretor Paul Leduc penetra na intimidade da artista com extrema sensibilidade e respeito, dando ao filme um tratamento muito diferente das biografias cinematográficas convencionais.",1,1.0,,,"Frida, Naturaleza Viva",1984,108',3.0,CLASA Films Mundiales,,Comercial,1.0,México,,Espanhol,Não,,VHS/NTSC,Colorido,Paul Leduc,Paul Leduc e José Joaquim Blanco,Angel Goded,Cato Estrada e Penny Simpson,"Ofelia Medina, Juan José Gurrola, Max Kerlow, Salvador Sanchez","Festival do Rio, 1986; Festival de Havana, 1985; Festival de Montevidéu, 1986, entre outros"
47419,96,"Asesinato en el Senado de la Nación. Sinopse: Ambientado nos anos 30, o filme retrata o tortuoso mundo da política argentina. A ação tem como ponto de partida as denúncias de um senador sobre negócios turvos que algumas empresas britânicas realizavam com as exportações de carne. Através das averiguações em torno de um homem a serviço dos políticos conservadores, o filme vai desvendando os meandros do poder, permeado pela corrupção.",4,4.0,,,Asesinato en el Senado de la Nación,1984,98',1.0,"Horacio R. Desares Producciones, S.A.",,Comercial,4.0,Argentina,,Espanhol,Não,,VHS/NTSC,Colorido,Juan José Jusid,"Carlos Somigliana, Juan José Jusid",José Muría Hermo,Baby Lópes Furst,"Pepe Soriano, Miguel Angel Solá, Oscar Martínez, Alberto Segado, Arturo Bonin, Marta Bianchi",
47420,97,"Los Sobrevivientes. Sinopse: Depois do triunfo da Revolução Cubana, uma família da burguesia se ""entrincheira"" dentro de uma mansão, acreditando que a situação mudaria logo. À medida em que o tempo passa, as reservas econômicas e de alimentos começam a se esgotar. Tal situação gera uma mudança nas relações entre a família e seus criados, fazendo com que as forças produtivas entrem em processo de regressão.  A clausura se inicia no capitalismo, em seguida entra no feudalismo, depois na escravatura, no capitalismo primitivo e, finalmente, chega ao estado selvagem.",5,5.0,,,Los Sobrevivientes,1978,110',2.0,ICAIC (Instituto Cubano del Arte y Industria Cinematográfica),,Comercial,5.0,Cuba,,Espanhol,Não,,VHS/NTSC,Colorido,Tomás Gutiérrez Alea,Antonio Benitez e Tomás Gutierrez Alea,Mario García Joya,Leo Brower,"Enrique Santisteban, Reinaldo Miravalles, Gérman Pinelli",
47421,98,"La Muerte de un Burocrata. Sinopse: Um operário exemplar morre em um acidente de trabalho e é enterrado com sua credencial de trabalhador.  Quando sua viúva vai tratar dos papéis para conseguir a pensão que lhe é devida, exigem-lhe que apresente a credencial.  A partir deste momento, a viúva e seu sobrinho vêem-se envolvidos em intermináveis trâmites burocráticos. (*)",7,7.0,,,La Muerte de un Burocrata (*),1966,89',1.0,"ICAIC, Cuba",,Comercial,7.0,Cuba,,Espanhol,Não,,VHS/NTSC,Preto e Branco,Tomás Gutiérrez Alea,Alfredo del Cueto e Tomás Gutiérrez  Alea,Ramón F. Suárez,Leo Brower,"Salvador Wood, Silvia Planas, Pedro Pablo Astorga, Tania Alvarado, Roberto Gacio, Rafael Sosa, Alicia Bustamante.",
47422,99,"El Brazo Fuerte. Sinopse: O filme narra a ascensão inescrupulosa de um engenheiro de obras a chefe do povoado.  Aquileo se interessa por Nocha, filha de Avelino, o chefe do povoado e proprietário da loja ""El Brazo Fuerte"".  Entre eles tem início uma correspondência amorosa, favorecida por Flora, dona da casa em que Aquileo se hospeda, e Petra, criada da filha de Avelino.  O povo é hostil com Aquileo, até que este recebe uma carta do Executivo Federal.  Impressionados pelas relações que o engenheiro aparenta ter com as altas esferas do poder, os moradores do povoado tornam-se obsequiosos para com ele, que se aproveita da situação para dar início à sua escalada ao poder.",8,8.0,,,El Brazo Fuerte,1958,84',1.0,"Reco Films, Rebeca Salinas Duff, México.",,Comercial,8.0,México,,Espanhol,Não,,VHS/NTSC,Colorido,Giovanni Korporaal,Juan de la Cabada y Giovanni Korporaal,Walter Reuter,Leonardo Velázquez,"Leandro Morett, Hermelinda Guerrero, Jorge González","Melhor Filme II Festival Cinematográfico, Artístico y Culturall, 1959"
